Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C13, C7",0603,3,1µF,
"C10, C11, C12, C14, C2, C4, C5, C6, C9",0603,9,0.1µF,
"C3, C8",CP_Elec_5x3,2,22µF,
D1,D_SMF,1,SMF5V0A,
"D10, D13, D15, D3",D_SMA,4,D_Schottky SS34,
"D11, D12, D2, D4, D5, D6, D8",0603,7,LED,
D18,D_MiniMELF,1,BZV55C3V3,
"D7, D9",D_SMA,2,D_Schottky SS14,
J22,J_SD_Card-micro_socket_A,1,TF-01A,
"Q1, Q2, Q3, Q7, Q8",SOT-23,5,A49T,
"Q4, Q5, Q6",TO-252-2,3,LR8726,
Q9,TO-252-2,1,FDD6685,
"R1, R2",2512,2,R020,
"R10, R11, R12, R13, R14, R15, R16, R25, R26, R27, R28, R29, R3, R32, R33, R5, R7, R8, R9",0603,19,10K,
"R17, R18, R19, R20, R21",0603,5,20K,
R22,0603,1,500,
"R23, R6",0603,2,1K,
R24,0603,1,100K,
R4,0603,1,2.7K,
RST1,0603,1,1µF,
U1,ESP32-WROOM-32,1,ESP32-WROOM-32D-N16,
U10,Bosch_LGA-8_2x2.5mm_P0.65mm_ClockwisePinNumbering,1,BMP280,
"U2, U5",SOP-16_4.4x10.4mm_P1.27mm,2,cd4050bms,
U3,SOIC-8_3.9x4.9mm_P1.27mm,1,MAX31855KASA,
U4,SOT-223-3_TabPin2,1,AMS1117-3.3,
U6,SOT-223-3_TabPin2,1,AMS1117-5.0,
U7,SOT-23-5,1,OPA340NA,
U8,SOT-23,1,LM4040DBZ-2.5,
U9,SOT-23-8,1,INA219AxDCN,
