Designators,Qty,Footprint,Partname,Mfr. Part #,LCSC Part #,JLC Part #,LCSC Link,MatchStatus
"C1, C13, C7",3,0603,1µF,,,C6266891,,OK
"C10, C11, C12, C14, C2, C4, C5, C6, C9",9,0603,0.1µF,,,C1590,,OK
"C3, C8",2,CP_Elec_5x3,22µF,,,C23289,,OK
D1,1,D_SMF,SMF5V0A,,,C1972946,,OK
"D10, D13, D15, D3",4,D_SMA,D_Schottky SS34,,,C154551,,OK
"D11, D12, D2, D4, D5, D6, D8",7,0603,LED,,,C2290,,OK
D18,1,D_MiniMELF,BZV55C3V3,,,C545323,,OK
"D7, D9",2,D_SMA,D_Schottky SS14,,,C2480,,OK
J22,1,J_SD_Card-micro_socket_A,TF-01A,,,C91145,,OK
"Q1, Q2, Q3, Q7, Q8",5,SOT-23,A49T,,,C30010,,OK
"Q4, Q5, Q6",3,TO-252-2,LR8726,,,C81137,,OK
Q9,1,TO-252-2,FDD6685,,,C10866,,OK
"R1, R2",2,2512,R020,,,C6966148,,OK
"R10, R11, R12, R13, R14, R15, R16, R25, R26, R27, R28, R29, R3, R32, R33, R5, R7, R8, R9",19,0603,10K,,,C25804,,OK
"R17, R18, R19, R20, R21",5,0603,20K,,,C4184,,OK
R22,1,0603,500,,,C6207671,,OK
"R23, R6",2,0603,1K,,,C21190,,OK
R24,1,0603,100K,,,C25803,,OK
R4,1,0603,2.7K,,,C13167,,OK
RST1,1,0603,1µF,,,C6266891,,OK
U1,1,ESP32-WROOM-32,ESP32-WROOM-32D-N16,,,C529578,,OK
U10,1,Bosch_LGA-8_2x2.5mm_P0.65mm_ClockwisePinNumbering,BMP280,,,C83291,,OK
"U2, U5",2,SOP-16_4.4x10.4mm_P1.27mm,cd4050bms,,,C507165,,OK
U3,1,SOIC-8_3.9x4.9mm_P1.27mm,MAX31855KASA,,,C52028,,OK
U4,1,SOT-223-3_TabPin2,AMS1117-3.3,,,C6186,,OK
U6,1,SOT-223-3_TabPin2,AMS1117-5.0,,,C6187,,OK
U7,1,SOT-23-5,OPA340NA,,,C49056105,,OK
U8,1,SOT-23,LM4040DBZ-2.5,,,C2156826,,OK
U9,1,SOT-23-8,INA219AxDCN,,,C87469,,OK
