Designator,Mid X,Mid Y,Rotation,Layer
C1,77.216,-189.357,270.0,bottom
C10,32.131,-154.686,0.0,bottom
C11,34.404,-151.638,0.0,bottom
C12,36.447,-179.136,0.0,bottom
C13,41.195,-186.1,180.0,bottom
C14,49.657,-184.29,270.0,top
C2,42.46,-188.885,90.0,bottom
C3,60.96,-154.813,270.0,top
C4,36.46,-176.342,0.0,bottom
C5,44.945,-159.131,0.0,bottom
C6,61.722,-161.798,90.0,bottom
C7,58.166,-168.021,180.0,top
C8,52.41,-154.178,180.0,top
C9,78.46,-190.115,270.0,top
D1,60.378,-152.019,180.0,bottom
D10,27.78,-193.08,90.0,bottom
D11,57.15,-155.194,270.0,top
D12,30.607,-168.529,180.0,top
D13,30.734,-186.055,0.0,bottom
D15,30.512,-173.863,0.0,bottom
D18,39.751,-159.2326,0.0,top
D2,36.576,-186.309,270.0,top
D3,30.52,-179.197,0.0,bottom
D4,36.576,-172.466,270.0,top
D5,30.734,-165.481,180.0,top
D6,44.45,-186.69,90.0,top
D7,30.48,-165.735,0.0,bottom
D8,70.5865,-151.13,0.0,top
D9,30.48,-169.545,0.0,bottom
GND1,69.088,-168.402,0.0,top
J22,69.214032,-191.679855,180.0,bottom
Q1,27.305,-164.465,0.0,top
Q2,42.037,-187.0225,90.0,top
Q3,27.305,-167.64,0.0,top
Q4,32.385,-179.325,180.0,top
Q5,32.429,-186.31,180.0,top
Q6,32.35,-172.338,180.0,top
Q7,37.4825,-186.41,0.0,bottom
Q8,28.5125,-182.59,0.0,bottom
Q9,31.589,-192.787,180.0,top
R1,43.03,-194.78,0.0,top
R10,33.528,-168.529,0.0,top
R11,36.576,-192.723,90.0,top
R12,33.591,-165.481,180.0,top
R13,58.039,-171.64,270.0,top
R14,57.023,-175.9834,90.0,bottom
R15,62.357,-170.434,90.0,top
R16,77.724,-172.72,0.0,bottom
R17,36.397,-177.739,0.0,bottom
R18,39.254,-182.057,0.0,bottom
R19,39.317,-180.533,180.0,bottom
R2,43.03,-190.99,0.0,top
R20,36.397,-180.533,0.0,bottom
R21,36.333,-182.057,180.0,bottom
R22,38.619,-177.04,270.0,bottom
R23,46.19,-190.825,90.0,bottom
R24,44.66,-177.185,270.0,bottom
R25,46.228,-186.69,90.0,top
R26,65.342,-182.88,180.0,bottom
R27,73.66,-182.118,90.0,bottom
R28,71.501,-182.118,90.0,bottom
R29,68.707,-182.753,180.0,bottom
R3,20.828,-160.909,0.0,top
R32,67.247,-151.13,180.0,top
R33,57.15,-152.146,90.0,top
R4,23.838,-160.909,0.0,top
R5,59.817,-169.418,0.0,top
R6,47.4,-190.165,90.0,bottom
R7,38.608,-186.309,270.0,top
R8,38.227,-172.466,270.0,top
R9,36.576,-179.387,90.0,top
RST1,59.436,-171.463,90.0,top
TCK1,66.929,-168.402,0.0,top
TDI1,47.371,-163.068,0.0,top
TDO1,64.77,-168.402,0.0,top
TMS1,59.69,-164.719,0.0,top
U1,68.16,-182.655,180.0,top
U10,50.673,-185.039,0.0,bottom
U2,66.1162,-167.3606,180.0,bottom
U3,37.084,-155.194,90.0,bottom
U4,69.24,-155.448,180.0,top
U5,51.4096,-162.687,180.0,bottom
U6,53.594,-154.178,0.0,bottom
U7,41.4075,-178.054,180.0,bottom
U8,42.495,-181.8515,90.0,bottom
U9,43.5975,-191.955,0.0,bottom
